epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7716,1.48827,4.28411,1.06839,0.79543,0.02109,0.03312,0.02403,0.83227,2.49862,0.70703,8.24074e-05,8.24074e-05,8.24074e-05
2,66.9227,1.09166,2.02744,0.93611,0.65702,0.13666,0.12506,0.0931,0.63116,1.24531,0.67588,0.000162459,0.000162459,0.000162459
3,100.136,0.93962,1.34622,0.90271,0.68604,0.18622,0.20689,0.15952,0.57823,1.31814,0.66517,0.000239211,0.000239211,0.000239211
4,133.427,0.85189,1.09767,0.89117,0.67192,0.22731,0.25232,0.19435,0.54326,1.15194,0.6561,0.00023515,0.00023515,0.00023515
5,167.031,0.8036,0.97976,0.87991,0.7361,0.26088,0.30512,0.23761,0.51619,0.99647,0.6531,0.0002302,0.0002302,0.0002302
6,200.9,0.78846,0.9195,0.87482,0.7378,0.28256,0.31772,0.24637,0.4933,0.88327,0.64656,0.00022525,0.00022525,0.00022525
7,234.268,0.76324,0.83876,0.86914,0.67848,0.3354,0.37495,0.29805,0.48946,0.90485,0.64753,0.0002203,0.0002203,0.0002203
8,267.614,0.74469,0.79982,0.86806,0.71592,0.36893,0.37914,0.2975,0.48897,0.95584,0.6454,0.00021535,0.00021535,0.00021535
9,303.661,0.73695,0.76423,0.86534,0.74343,0.36891,0.40695,0.31702,0.47387,0.71418,0.64576,0.0002104,0.0002104,0.0002104
10,337.649,0.71866,0.72967,0.8602,0.76761,0.39295,0.41665,0.32824,0.4645,0.92782,0.64348,0.00020545,0.00020545,0.00020545
11,373.709,0.70961,0.70937,0.86152,0.78913,0.3968,0.42877,0.34093,0.45857,0.6111,0.64384,0.0002005,0.0002005,0.0002005
12,414.333,0.69658,0.68043,0.85865,0.74523,0.39734,0.43823,0.34557,0.4829,0.66419,0.64342,0.00019555,0.00019555,0.00019555
13,467.471,0.69836,0.67075,0.85703,0.79948,0.40322,0.46638,0.36675,0.44878,0.63466,0.64185,0.0001906,0.0001906,0.0001906
14,507.424,0.6759,0.63241,0.85013,0.77603,0.41726,0.47638,0.3737,0.45209,0.72392,0.64104,0.00018565,0.00018565,0.00018565
15,541.416,0.66513,0.62222,0.85078,0.73767,0.44017,0.51197,0.40525,0.45824,0.58804,0.64123,0.0001807,0.0001807,0.0001807
16,574.866,0.66196,0.61663,0.85191,0.68463,0.48263,0.53126,0.42685,0.43954,0.71049,0.64092,0.00017575,0.00017575,0.00017575
17,608.398,0.66337,0.61775,0.85329,0.68476,0.49061,0.52491,0.4176,0.45447,0.73393,0.63994,0.0001708,0.0001708,0.0001708
18,642.033,0.67151,0.60502,0.85024,0.77725,0.49957,0.54037,0.43222,0.43588,0.62832,0.63899,0.00016585,0.00016585,0.00016585
19,675.646,0.65286,0.58585,0.848,0.78555,0.47256,0.54207,0.42633,0.43929,1.8532,0.63956,0.0001609,0.0001609,0.0001609
20,709.183,0.65673,0.58746,0.84883,0.75358,0.5002,0.54595,0.43462,0.43763,0.56202,0.63898,0.00015595,0.00015595,0.00015595
21,742.757,0.65596,0.58095,0.8465,0.69393,0.53373,0.5506,0.43631,0.43375,0.59029,0.63782,0.000151,0.000151,0.000151
22,776.225,0.63979,0.57213,0.84578,0.68128,0.5464,0.55815,0.43996,0.43304,0.66183,0.63767,0.00014605,0.00014605,0.00014605
23,809.918,0.64183,0.55952,0.84525,0.70911,0.51994,0.56244,0.45147,0.43506,0.83815,0.63657,0.0001411,0.0001411,0.0001411
24,843.405,0.6332,0.55555,0.84563,0.80024,0.49594,0.56221,0.45586,0.42584,0.64956,0.63576,0.00013615,0.00013615,0.00013615
25,877.054,0.6478,0.55159,0.84427,0.82132,0.50347,0.56896,0.45642,0.43279,0.56792,0.63675,0.0001312,0.0001312,0.0001312
26,910.368,0.64219,0.5483,0.845,0.86535,0.46919,0.54971,0.4415,0.42639,0.5248,0.6351,0.00012625,0.00012625,0.00012625
27,943.993,0.62927,0.53721,0.84417,0.71553,0.54825,0.56969,0.45847,0.42493,0.64209,0.63595,0.0001213,0.0001213,0.0001213
28,978.155,0.6466,0.54164,0.84572,0.8045,0.51889,0.57503,0.46186,0.42136,0.50563,0.63559,0.00011635,0.00011635,0.00011635
29,1012.36,0.62711,0.53192,0.84105,0.81785,0.53575,0.57326,0.46176,0.43576,0.59907,0.63601,0.0001114,0.0001114,0.0001114
30,1047.35,0.62498,0.52251,0.84361,0.79628,0.53358,0.57964,0.46718,0.42216,0.56894,0.63512,0.00010645,0.00010645,0.00010645
31,1081.84,0.62345,0.52171,0.83727,0.82431,0.52145,0.58868,0.46242,0.41968,0.4941,0.63471,0.0001015,0.0001015,0.0001015
32,1115.49,0.62171,0.51741,0.8413,0.78047,0.51204,0.59591,0.4696,0.4177,0.37067,0.6338,9.655e-05,9.655e-05,9.655e-05
33,1148.53,0.61537,0.51256,0.8382,0.7421,0.56055,0.59473,0.47939,0.41839,0.81863,0.63441,9.16e-05,9.16e-05,9.16e-05
34,1181.7,0.62463,0.51695,0.84276,0.77314,0.53291,0.61806,0.49866,0.42441,0.6118,0.63507,8.665e-05,8.665e-05,8.665e-05
35,1215.03,0.6107,0.51042,0.83959,0.79712,0.53183,0.61781,0.49921,0.41361,0.6289,0.6334,8.17e-05,8.17e-05,8.17e-05
36,1248.28,0.61303,0.5059,0.83894,0.80569,0.53859,0.63095,0.51083,0.41342,0.50331,0.63327,7.675e-05,7.675e-05,7.675e-05
37,1281.65,0.60243,0.50099,0.83787,0.78657,0.55083,0.63775,0.51465,0.41699,0.39548,0.63373,7.18e-05,7.18e-05,7.18e-05
38,1314.81,0.61391,0.50246,0.83841,0.83457,0.54899,0.62891,0.50611,0.41385,0.3872,0.63346,6.685e-05,6.685e-05,6.685e-05
39,1348.04,0.60544,0.49505,0.83626,0.82656,0.55074,0.65524,0.53118,0.41048,0.42393,0.63283,6.19e-05,6.19e-05,6.19e-05
40,1381.13,0.60845,0.49704,0.83823,0.76468,0.56553,0.64925,0.52034,0.41334,0.45147,0.63307,5.695e-05,5.695e-05,5.695e-05
41,1412.41,0.55726,0.47869,0.82977,0.81324,0.55523,0.64783,0.52041,0.41334,0.53743,0.63324,5.2e-05,5.2e-05,5.2e-05
42,1443.48,0.54829,0.46347,0.83024,0.71718,0.57247,0.65478,0.52698,0.41164,0.38946,0.63309,4.705e-05,4.705e-05,4.705e-05
43,1474.51,0.54876,0.45636,0.8271,0.82825,0.55164,0.66414,0.53496,0.41076,0.3895,0.63227,4.21e-05,4.21e-05,4.21e-05
44,1505.22,0.54522,0.45882,0.8268,0.81021,0.54753,0.66403,0.52972,0.40828,0.36674,0.63209,3.715e-05,3.715e-05,3.715e-05
45,1536.06,0.53828,0.45436,0.82543,0.79367,0.55451,0.66427,0.53408,0.40679,0.35184,0.63208,3.22e-05,3.22e-05,3.22e-05
46,1566.89,0.53667,0.45126,0.8239,0.86816,0.5512,0.67096,0.54376,0.406,0.36384,0.63232,2.725e-05,2.725e-05,2.725e-05
47,1597.76,0.54197,0.45665,0.82431,0.83146,0.55431,0.66734,0.54162,0.40693,0.35672,0.63173,2.23e-05,2.23e-05,2.23e-05
48,1628.56,0.53019,0.44364,0.82595,0.83427,0.5557,0.66958,0.54344,0.40644,0.36566,0.63185,1.735e-05,1.735e-05,1.735e-05
49,1659.5,0.52669,0.44023,0.82607,0.82724,0.55949,0.67324,0.54685,0.40336,0.37498,0.63156,1.24e-05,1.24e-05,1.24e-05
50,1690.31,0.53314,0.44644,0.82381,0.82756,0.55638,0.67328,0.54589,0.40384,0.38002,0.63149,7.45e-06,7.45e-06,7.45e-06
