epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.178,0.7611,1.57867,0.93982,0.90947,0.36193,0.38196,0.30035,0.5927,0.56568,0.8838,0.00333074,0.00333074,0.00333074
2,780.03,0.65426,0.68174,0.89763,0.90579,0.50574,0.533,0.42122,0.54236,0.44474,0.87508,0.0065981,0.0065981,0.0065981
3,1152.39,0.66423,0.61612,0.90412,0.8615,0.62392,0.65726,0.50805,0.54877,0.41848,0.88184,0.00979946,0.00979946,0.00979946
4,1532.93,0.6374,0.55736,0.90243,0.89325,0.64362,0.6969,0.54361,0.52059,0.3764,0.87974,0.009703,0.009703,0.009703
5,1941.35,0.6082,0.49803,0.89715,0.8747,0.67677,0.74949,0.58599,0.50935,0.34113,0.87529,0.009604,0.009604,0.009604
6,2346.5,0.58774,0.46201,0.89282,0.77161,0.7472,0.80991,0.62469,0.4958,0.31879,0.87375,0.009505,0.009505,0.009505
7,2738.33,0.57381,0.43315,0.89093,0.84302,0.74165,0.81849,0.63852,0.48966,0.31102,0.87176,0.009406,0.009406,0.009406
8,3110.23,0.56476,0.41577,0.88857,0.83747,0.78602,0.82349,0.6504,0.48342,0.30021,0.86957,0.009307,0.009307,0.009307
9,3486.41,0.55715,0.40172,0.88674,0.86927,0.7974,0.85771,0.68004,0.4794,0.29183,0.86674,0.009208,0.009208,0.009208
10,3893.47,0.55212,0.3936,0.88632,0.84396,0.81131,0.87767,0.70163,0.47459,0.28449,0.86854,0.009109,0.009109,0.009109
11,4290.43,0.54379,0.38281,0.88371,0.88531,0.85299,0.87351,0.69816,0.47375,0.28378,0.86807,0.00901,0.00901,0.00901
12,4747,0.54025,0.37707,0.88423,0.90386,0.83866,0.89292,0.71282,0.46744,0.27281,0.86646,0.008911,0.008911,0.008911
13,5298.32,0.53462,0.36895,0.88153,0.92548,0.82813,0.89106,0.72393,0.46246,0.27089,0.86547,0.008812,0.008812,0.008812
14,5927.61,0.53097,0.36419,0.88095,0.88731,0.85989,0.89966,0.72779,0.46062,0.26416,0.86329,0.008713,0.008713,0.008713
15,6564.94,0.52696,0.35882,0.87944,0.92281,0.87779,0.92394,0.7503,0.45895,0.26086,0.86101,0.008614,0.008614,0.008614
